"What is this Table?
This table lists the Housing Preservation Departments (HPD) unique Complaint types, complaint details and the location types present in the 311 Data on the Open Data Portal.
This HPD table is separated from other agency complaint details because HPD complaints correlate to feild that indicates which Buidling Management Program (BMP) the complaint type is associated with.

How you can use this table
• You can use this table to help you identify new types of complaints that are captured by 311.
• Use this table to get a sense of what services a Agency is responsible for.

Notes:
• ""BMP"" - Building Management Program.
•  ""DPM"", ""DAMP"" - Building Types managed by HPD under BMP programs. This information is used by 311 to determine the types of complaints applicable to a particular address.
• ""Sec8"" - Section 8 housing, managed by HPD under BMP program.
• ""PVT"" - Privately-Owned buildings; complaints are accepted even though they are not managed by HPD.",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Agency,Complaint Type,Descriptor,BMP,Public View,Additional_Details,Location_Type,Location_Details
Department of Housing Preservation and Development,Safety,Window Guard Broken/Missing,PVT,Yes,Child Under 11,Public Area,Bathroom
Department of Housing Preservation and Development,Safety,Window Guard Broken/Missing,PVT,Yes,Child Under 11,Public Area,Kitchen
Department of Housing Preservation and Development,Safety,Window Guard Broken/Missing,PVT,Yes,Child Under 11,Public Area,Lobby
Department of Housing Preservation and Development,Safety,Window Guard Broken/Missing,PVT,Yes,Child Under 11,Public Area,Hallway
Department of Housing Preservation and Development,Safety,Window Guard Broken/Missing,PVT,Yes,No Child Under 11,Public Area,Hallway
Department of Housing Preservation and Development,Safety,Window Guard Broken/Missing,PVT,Yes,No Child Under 11,Public Area,Lobby
Department of Housing Preservation and Development,Safety,Window Guard Broken/Missing,PVT,Yes,No Child Under 11,Public Area,Kitchen
Department of Housing Preservation and Development,Safety,Window Guard Broken/Missing,PVT,Yes,No Child Under 11,Public Area,Bathroom
Department of Housing Preservation and Development,Safety,Window Guard Broken/Missing,PVT,Yes,No Child Under 11,Public Area,Air Shaft
Department of Housing Preservation and Development,Safety,Window Guard Broken/Missing,PVT,Yes,No Child Under 11,Public Area,Storage Room
Department of Housing Preservation and Development,Safety,Window Guard Broken/Missing,PVT,Yes,No Child Under 11,Public Area,Stairs
Department of Housing Preservation and Development,Safety,Window Guard Broken/Missing,PVT,Yes,No Child Under 11,Public Area,Other Room/Area
Department of Housing Preservation and Development,Safety,Fire Escape,Sec 8,Yes,Blocked,Public Area,Fire Escape/Egress
Department of Housing Preservation and Development,Safety,Fire Escape,Sec 8,Yes,Broken or Defective,Public Area,Fire Escape/Egress
Department of Housing Preservation and Development,Safety,Fire Escape,Sec 8,Yes,Rusted or Peeling,Public Area,Fire Escape/Egress
Department of Housing Preservation and Development,Safety,Fire Escape,Sec 8,Yes,Window Broken or Blocked,Public Area,Hallway
Department of Housing Preservation and Development,Safety,Fire Escape,Sec 8,Yes,Window Broken or Blocked,Public Area,Kitchen
Department of Housing Preservation and Development,Safety,Fire Escape,Sec 8,Yes,Window Broken or Blocked,Public Area,Lobby
Department of Housing Preservation and Development,Safety,Fire Escape,Sec 8,Yes,Window Broken or Blocked,Public Area,Bathroom
Department of Housing Preservation and Development,Safety,Fire Escape,Sec 8,Yes,Window Broken or Blocked,Public Area,Courtyard
Department of Housing Preservation and Development,Safety,Fire Escape,Sec 8,Yes,Window Broken or Blocked,Public Area,Other Room/Area
Department of Housing Preservation and Development,Safety,Fire Escape,Sec 8,Yes,Window Broken or Blocked,Public Area,Stairs
Department of Housing Preservation and Development,Safety,Fire Escape,Sec 8,Yes,Window Broken or Blocked,Public Area,Yard
Department of Housing Preservation and Development,Safety,Outlet Cover,Sec 8,Yes,Missing,Public Area,Hallway
Department of Housing Preservation and Development,Safety,Sprinkler,Sec 8,Yes,Sprinkler Missing,Public Area,Hallway
Department of Housing Preservation and Development,Safety,Sprinkler,Sec 8,Yes,Sprinkler Missing,Public Area,Fire Stairs/Tower
Department of Housing Preservation and Development,Safety,Sprinkler,Sec 8,Yes,Sprinkler Missing,Public Area,Fire Exit/Passageway
Department of Housing Preservation and Development,Safety,Sprinkler,Sec 8,Yes,Sprinkler Missing,Public Area,Lobby
Department of Housing Preservation and Development,Safety,Sprinkler,Sec 8,Yes,Sprinkler Missing,Public Area,Kitchen
Department of Housing Preservation and Development,Safety,Sprinkler,Sec 8,Yes,Sprinkler Missing,Public Area,Laundry Room
Department of Housing Preservation and Development,Safety,Sprinkler,Sec 8,Yes,Sprinkler Missing,Public Area,Compactor Closet
Department of Housing Preservation and Development,Safety,Sprinkler,Sec 8,Yes,Sprinkler Missing,Public Area,Cellar
Department of Housing Preservation and Development,Safety,Sprinkler,Sec 8,Yes,Sprinkler Missing,Public Area,Boiler Room
Department of Housing Preservation and Development,Safety,Sprinkler,Sec 8,Yes,Sprinkler Missing,Public Area,Bathroom
Department of Housing Preservation and Development,Safety,Sprinkler,Sec 8,Yes,Sprinkler Missing,Public Area,Basement
Department of Housing Preservation and Development,Safety,Sprinkler,Sec 8,Yes,Sprinkler Missing,Public Area,Storage Room
Department of Housing Preservation and Development,Safety,Sprinkler,Sec 8,Yes,Sprinkler Missing,Public Area,Stairs
Department of Housing Preservation and Development,Safety,Sprinkler,Sec 8,Yes,Sprinkler Missing,Public Area,Other Room/Area
Department of Housing Preservation and Development,Safety,Sprinkler,Sec 8,Yes,Sprinkler Missing,Public Area,Meter Room
Department of Housing Preservation and Development,Safety,Sprinkler,Sec 8,Yes,Sprinkler Painted,Public Area,Meter Room
Department of Housing Preservation and Development,Safety,Sprinkler,Sec 8,Yes,Sprinkler Painted,Public Area,Other Room/Area
Department of Housing Preservation and Development,Safety,Sprinkler,Sec 8,Yes,Sprinkler Painted,Public Area,Stairs
Department of Housing Preservation and Development,Safety,Sprinkler,Sec 8,Yes,Sprinkler Painted,Public Area,Storage Room
Department of Housing Preservation and Development,Safety,Sprinkler,Sec 8,Yes,Sprinkler Painted,Public Area,Basement
Department of Housing Preservation and Development,Safety,Sprinkler,Sec 8,Yes,Sprinkler Painted,Public Area,Bathroom
Department of Housing Preservation and Development,Safety,Sprinkler,Sec 8,Yes,Sprinkler Painted,Public Area,Boiler Room
Department of Housing Preservation and Development,Safety,Sprinkler,Sec 8,Yes,Sprinkler Painted,Public Area,Cellar
Department of Housing Preservation and Development,Safety,Sprinkler,Sec 8,Yes,Sprinkler Painted,Public Area,Compactor Closet
Department of Housing Preservation and Development,Safety,Sprinkler,Sec 8,Yes,Sprinkler Painted,Public Area,Laundry Room
Department of Housing Preservation and Development,Safety,Sprinkler,Sec 8,Yes,Sprinkler Painted,Public Area,Kitchen
Department of Housing Preservation and Development,Safety,Sprinkler,Sec 8,Yes,Sprinkler Painted,Public Area,Lobby
Department of Housing Preservation and Development,Safety,Sprinkler,Sec 8,Yes,Sprinkler Painted,Public Area,Fire Exit/Passageway
Department of Housing Preservation and Development,Safety,Sprinkler,Sec 8,Yes,Sprinkler Painted,Public Area,Fire Stairs/Tower
Department of Housing Preservation and Development,Safety,Sprinkler,Sec 8,Yes,Sprinkler Painted,Public Area,Hallway
Department of Housing Preservation and Development,Safety,Sprinkler,Sec 8,Yes,System Broken or Missing,Public Area,Hallway
Department of Housing Preservation and Development,Safety,Sprinkler,Sec 8,Yes,System Broken or Missing,Public Area,Fire Stairs/Tower
Department of Housing Preservation and Development,Safety,Sprinkler,Sec 8,Yes,System Broken or Missing,Public Area,Fire Exit/Passageway
Department of Housing Preservation and Development,Safety,Sprinkler,Sec 8,Yes,System Broken or Missing,Public Area,Lobby
Department of Housing Preservation and Development,Safety,Sprinkler,Sec 8,Yes,System Broken or Missing,Public Area,Kitchen
Department of Housing Preservation and Development,Safety,Sprinkler,Sec 8,Yes,System Broken or Missing,Public Area,Laundry Room
Department of Housing Preservation and Development,Safety,Sprinkler,Sec 8,Yes,System Broken or Missing,Public Area,Compactor Closet
Department of Housing Preservation and Development,Safety,Sprinkler,Sec 8,Yes,System Broken or Missing,Public Area,Cellar
Department of Housing Preservation and Development,Safety,Sprinkler,Sec 8,Yes,System Broken or Missing,Public Area,Boiler Room
Department of Housing Preservation and Development,Safety,Sprinkler,Sec 8,Yes,System Broken or Missing,Public Area,Bathroom
Department of Housing Preservation and Development,Safety,Sprinkler,Sec 8,Yes,System Broken or Missing,Public Area,Basement
Department of Housing Preservation and Development,Safety,Sprinkler,Sec 8,Yes,System Broken or Missing,Public Area,Storage Room
Department of Housing Preservation and Development,Safety,Sprinkler,Sec 8,Yes,System Broken or Missing,Public Area,Stairs
Department of Housing Preservation and Development,Safety,Sprinkler,Sec 8,Yes,System Broken or Missing,Public Area,Other Room/Area
Department of Housing Preservation and Development,Safety,Sprinkler,Sec 8,Yes,System Broken or Missing,Public Area,Meter Room
Department of Housing Preservation and Development,Safety,Window Guard Broken/Missing,Sec 8,Yes,Child Under 11,Public Area,Other Room/Area
Department of Housing Preservation and Development,Safety,Window Guard Broken/Missing,Sec 8,Yes,Child Under 11,Public Area,Stairs
Department of Housing Preservation and Development,Safety,Window Guard Broken/Missing,Sec 8,Yes,Child Under 11,Public Area,Storage Room
Department of Housing Preservation and Development,Safety,Window Guard Broken/Missing,Sec 8,Yes,Child Under 11,Public Area,Air Shaft
Department of Housing Preservation and Development,Safety,Window Guard Broken/Missing,Sec 8,Yes,Child Under 11,Public Area,Bathroom
Department of Housing Preservation and Development,Safety,Window Guard Broken/Missing,Sec 8,Yes,Child Under 11,Public Area,Kitchen
Department of Housing Preservation and Development,Safety,Window Guard Broken/Missing,Sec 8,Yes,Child Under 11,Public Area,Lobby
Department of Housing Preservation and Development,Safety,Window Guard Broken/Missing,Sec 8,Yes,Child Under 11,Public Area,Hallway
Department of Housing Preservation and Development,Safety,Window Guard Broken/Missing,Sec 8,Yes,No Child Under 11,Public Area,Hallway
Department of Housing Preservation and Development,Safety,Window Guard Broken/Missing,Sec 8,Yes,No Child Under 11,Public Area,Lobby
Department of Housing Preservation and Development,Safety,Window Guard Broken/Missing,Sec 8,Yes,No Child Under 11,Public Area,Kitchen
Department of Housing Preservation and Development,Safety,Window Guard Broken/Missing,Sec 8,Yes,No Child Under 11,Public Area,Bathroom
Department of Housing Preservation and Development,Safety,Window Guard Broken/Missing,Sec 8,Yes,No Child Under 11,Public Area,Air Shaft
Department of Housing Preservation and Development,Safety,Window Guard Broken/Missing,Sec 8,Yes,No Child Under 11,Public Area,Storage Room
Department of Housing Preservation and Development,Safety,Window Guard Broken/Missing,Sec 8,Yes,No Child Under 11,Public Area,Stairs
Department of Housing Preservation and Development,Safety,Window Guard Broken/Missing,Sec 8,Yes,No Child Under 11,Public Area,Other Room/Area
Department of Housing Preservation and Development,Safety,Fire Escape,DAMP,Yes,Drop Ladder Missing or Broken,Building-Wide,Building-Wide
Department of Housing Preservation and Development,Safety,Fire Escape,DAMP,Yes,Falling off Wall,Building-Wide,Building-Wide
Department of Housing Preservation and Development,Safety,Fire Escape,DAMP,Yes,Removed,Building-Wide,Building-Wide
Department of Housing Preservation and Development,Safety,Sprinkler,DAMP,Yes,No Water,Building-Wide,Building-Wide
Department of Housing Preservation and Development,Safety,Sprinkler,DAMP,Yes,System Broken or Missing,Building-Wide,Building-Wide
Department of Housing Preservation and Development,Safety,Fire Escape,DPM,Yes,Drop Ladder Missing or Broken,Building-Wide,Building-Wide
Department of Housing Preservation and Development,Safety,Fire Escape,DPM,Yes,Falling off Wall,Building-Wide,Building-Wide
Department of Housing Preservation and Development,Safety,Fire Escape,DPM,Yes,Removed,Building-Wide,Building-Wide
Department of Housing Preservation and Development,Safety,Sprinkler,DPM,Yes,No Water,Building-Wide,Building-Wide
Department of Housing Preservation and Development,Safety,Sprinkler,DPM,Yes,System Broken or Missing,Building-Wide,Building-Wide
Department of Housing Preservation and Development,Safety,Fire Escape,PVT,Yes,Drop Ladder Missing or Broken,Building-Wide,Building-Wide
Department of Housing Preservation and Development,Safety,Fire Escape,PVT,Yes,Falling off Wall,Building-Wide,Building-Wide
Department of Housing Preservation and Development,Safety,Fire Escape,PVT,Yes,Removed,Building-Wide,Building-Wide
Department of Housing Preservation and Development,Safety,Sprinkler,PVT,Yes,No Water,Building-Wide,Building-Wide
Department of Housing Preservation and Development,Safety,Sprinkler,PVT,Yes,System Broken or Missing,Building-Wide,Building-Wide
Department of Housing Preservation and Development,Safety,Fire Escape,Sec 8,Yes,Drop Ladder Missing or Broken,Building-Wide,Building-Wide
Department of Housing Preservation and Development,Safety,Fire Escape,Sec 8,Yes,Falling off Wall,Building-Wide,Building-Wide
Department of Housing Preservation and Development,Safety,Fire Escape,Sec 8,Yes,Removed,Building-Wide,Building-Wide
Department of Housing Preservation and Development,Safety,Sprinkler,Sec 8,Yes,No Water,Building-Wide,Building-Wide
Department of Housing Preservation and Development,Safety,Sprinkler,Sec 8,Yes,System Broken or Missing,Building-Wide,Building-Wide
Department of Housing Preservation and Development,Safety,Carbon Monoxide Detector,PVT,Yes,Broken or Missing,Apartment,Entire Apartment
Department of Housing Preservation and Development,Safety,Fire Escape,PVT,Yes,Window Broken or Blocked,Apartment,Entire Apartment
Department of Housing Preservation and Development,Safety,Fire Escape,PVT,Yes,Window Broken or Blocked,Apartment,Kitchen
Department of Housing Preservation and Development,Safety,Fire Escape,PVT,Yes,Window Broken or Blocked,Apartment,Living Room
Department of Housing Preservation and Development,Safety,Fire Escape,PVT,Yes,Window Broken or Blocked,Apartment,Bathroom
Department of Housing Preservation and Development,Safety,Fire Escape,PVT,Yes,Window Broken or Blocked,Apartment,Bedroom
Department of Housing Preservation and Development,Safety,Fire Escape,PVT,Yes,Window Broken or Blocked,Apartment,Other Room/Area
Department of Housing Preservation and Development,Safety,Fire Escape,PVT,Yes,Window Broken or Blocked,Apartment,Private Hall
Department of Housing Preservation and Development,Safety,Smoke Detector,PVT,Yes,Broken or Missing,Apartment,Entire Apartment
Department of Housing Preservation and Development,Safety,Sprinkler,PVT,Yes,No Water,Apartment,Entire Apartment
Department of Housing Preservation and Development,Safety,Sprinkler,PVT,Yes,No Water,Apartment,Entire Building
Department of Housing Preservation and Development,Safety,Sprinkler,PVT,Yes,Sprinkler Missing,Apartment,Entire Apartment
Department of Housing Preservation and Development,Safety,Sprinkler,PVT,Yes,Sprinkler Missing,Apartment,Entrance/Foyer
Department of Housing Preservation and Development,Safety,Sprinkler,PVT,Yes,Sprinkler Missing,Apartment,Living Room
Department of Housing Preservation and Development,Safety,Sprinkler,PVT,Yes,Sprinkler Missing,Apartment,Kitchen
Department of Housing Preservation and Development,Safety,Sprinkler,PVT,Yes,Sprinkler Missing,Apartment,Bedroom
Department of Housing Preservation and Development,Safety,Sprinkler,PVT,Yes,Sprinkler Missing,Apartment,Private Hall
Department of Housing Preservation and Development,Safety,Sprinkler,PVT,Yes,Sprinkler Missing,Apartment,Other Room/Area
Department of Housing Preservation and Development,Safety,Sprinkler,PVT,Yes,Sprinkler Painted,Apartment,Other Room/Area
Department of Housing Preservation and Development,Safety,Sprinkler,PVT,Yes,Sprinkler Painted,Apartment,Private Hall
Department of Housing Preservation and Development,Safety,Sprinkler,PVT,Yes,Sprinkler Painted,Apartment,Bedroom
Department of Housing Preservation and Development,Safety,Sprinkler,PVT,Yes,Sprinkler Painted,Apartment,Kitchen
Department of Housing Preservation and Development,Safety,Sprinkler,PVT,Yes,Sprinkler Painted,Apartment,Living Room
Department of Housing Preservation and Development,Safety,Sprinkler,PVT,Yes,Sprinkler Painted,Apartment,Entrance/Foyer
Department of Housing Preservation and Development,Safety,Sprinkler,PVT,Yes,Sprinkler Painted,Apartment,Entire Apartment
Department of Housing Preservation and Development,Safety,Sprinkler,PVT,Yes,System Broken or Missing,Apartment,Entire Apartment
Department of Housing Preservation and Development,Safety,Sprinkler,PVT,Yes,System Broken or Missing,Apartment,Entire Building
Department of Housing Preservation and Development,Safety,Window Guard Broken/Missing,PVT,Yes,Child Under 11,Apartment,Entire Apartment
Department of Housing Preservation and Development,Safety,Window Guard Broken/Missing,PVT,Yes,Child Under 11,Apartment,Living Room
Department of Housing Preservation and Development,Safety,Window Guard Broken/Missing,PVT,Yes,Child Under 11,Apartment,Kitchen
Department of Housing Preservation and Development,Safety,Window Guard Broken/Missing,PVT,Yes,Child Under 11,Apartment,Bedroom
Department of Housing Preservation and Development,Safety,Window Guard Broken/Missing,PVT,Yes,Child Under 11,Apartment,Bathroom
Department of Housing Preservation and Development,Safety,Window Guard Broken/Missing,PVT,Yes,Child Under 11,Apartment,Other Room/Area
Department of Housing Preservation and Development,Safety,Window Guard Broken/Missing,PVT,Yes,No Child Under 11,Apartment,Other Room/Area
Department of Housing Preservation and Development,Safety,Window Guard Broken/Missing,PVT,Yes,No Child Under 11,Apartment,Bathroom
Department of Housing Preservation and Development,Safety,Window Guard Broken/Missing,PVT,Yes,No Child Under 11,Apartment,Bedroom
Department of Housing Preservation and Development,Safety,Window Guard Broken/Missing,PVT,Yes,No Child Under 11,Apartment,Kitchen
Department of Housing Preservation and Development,Safety,Window Guard Broken/Missing,PVT,Yes,No Child Under 11,Apartment,Living Room
Department of Housing Preservation and Development,Safety,Window Guard Broken/Missing,PVT,Yes,No Child Under 11,Apartment,Entire Apartment
Department of Housing Preservation and Development,Unsanitary Condition,Mold,PVT,Yes,N/A,Apartment,Entire Apartment
Department of Housing Preservation and Development,Unsanitary Condition,Mold,PVT,Yes,N/A,Apartment,Entrance/Foyer
Department of Housing Preservation and Development,Unsanitary Condition,Mold,PVT,Yes,N/A,Apartment,Living Room
Department of Housing Preservation and Development,Unsanitary Condition,Mold,PVT,Yes,N/A,Apartment,Kitchen
Department of Housing Preservation and Development,Unsanitary Condition,Mold,PVT,Yes,N/A,Apartment,Bedroom
Department of Housing Preservation and Development,Unsanitary Condition,Mold,PVT,Yes,N/A,Apartment,Bathroom
Department of Housing Preservation and Development,Unsanitary Condition,Mold,PVT,Yes,N/A,Apartment,Other Room/Area
Department of Housing Preservation and Development,Unsanitary Condition,Mold,PVT,Yes,N/A,Apartment,Private Hall
Department of Housing Preservation and Development,Unsanitary Condition,Pests,PVT,Yes,Bed Bugs,Apartment,Entire Apartment
Department of Housing Preservation and Development,Unsanitary Condition,Pests,PVT,Yes,Fleas,Apartment,Entire Apartment
Department of Housing Preservation and Development,Unsanitary Condition,Pests,PVT,Yes,Flies,Apartment,Entire Apartment
Department of Housing Preservation and Development,Unsanitary Condition,Pests,PVT,Yes,Mice,Apartment,Entire Apartment
Department of Housing Preservation and Development,Unsanitary Condition,Pests,PVT,Yes,Other,Apartment,Entire Apartment
Department of Housing Preservation and Development,Unsanitary Condition,Pests,PVT,Yes,Roaches,Apartment,Entire Apartment
Department of Housing Preservation and Development,Unsanitary Condition,Pests,PVT,Yes,Termites,Apartment,Entire Apartment
Department of Housing Preservation and Development,Unsanitary Condition,Sewage,PVT,Yes,Broken/Blocked Sewage Pipe,Apartment,Kitchen
Department of Housing Preservation and Development,Unsanitary Condition,Sewage,PVT,Yes,Broken/Blocked Sewage Pipe,Apartment,Bathroom
Department of Housing Preservation and Development,Unsanitary Condition,Sewage,PVT,Yes,Broken/Blocked Sewage Pipe,Apartment,Other Room/Area
Department of Housing Preservation and Development,Unsanitary Condition,Sewage,PVT,Yes,Raw Sewage Accumulation,Apartment,Other Room/Area
Department of Housing Preservation and Development,Unsanitary Condition,Sewage,PVT,Yes,Raw Sewage Accumulation,Apartment,Private Hall
Department of Housing Preservation and Development,Unsanitary Condition,Sewage,PVT,Yes,Raw Sewage Accumulation,Apartment,Bathroom
Department of Housing Preservation and Development,Unsanitary Condition,Sewage,PVT,Yes,Raw Sewage Accumulation,Apartment,Kitchen
Department of Housing Preservation and Development,Unsanitary Condition,Sewage,PVT,Yes,Raw Sewage Accumulation,Apartment,Entire Apartment
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,Sec 8,Yes,Accumulation,Public Area,Hallway
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,Sec 8,Yes,Accumulation,Public Area,Garage
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,Sec 8,Yes,Accumulation,Public Area,Fire Stairs/Tower
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,Sec 8,Yes,Accumulation,Public Area,Fire Exit/Passageway
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,Sec 8,Yes,Accumulation,Public Area,Fire Escape/Egress
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,Sec 8,Yes,Accumulation,Public Area,Lobby
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,Sec 8,Yes,Accumulation,Public Area,Kitchen
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,Sec 8,Yes,Accumulation,Public Area,Laundry Room
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,Sec 8,Yes,Accumulation,Public Area,Air Shaft
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,Sec 8,Yes,Accumulation,Public Area,Basement
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,Sec 8,Yes,Accumulation,Public Area,Bathroom
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,Sec 8,Yes,Accumulation,Public Area,Building Entrance
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,Sec 8,Yes,Accumulation,Public Area,Boiler Room
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,Sec 8,Yes,Accumulation,Public Area,Courtyard
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,Sec 8,Yes,Accumulation,Public Area,Cellar
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,Sec 8,Yes,Accumulation,Public Area,Compactor Closet
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,Sec 8,Yes,Accumulation,Public Area,Stairs
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,Sec 8,Yes,Accumulation,Public Area,Other Room/Area
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,Sec 8,Yes,Accumulation,Public Area,Meter Room
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,Sec 8,Yes,Accumulation,Public Area,Storage Room
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,Sec 8,Yes,Accumulation,Public Area,Stoop
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,Sec 8,Yes,Accumulation,Public Area,Yard
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,Sec 8,Yes,Missing or Inadequate Cans/Lid,Public Area,Yard
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,Sec 8,Yes,Missing or Inadequate Cans/Lid,Public Area,Stoop
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,Sec 8,Yes,Missing or Inadequate Cans/Lid,Public Area,Compactor Closet
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,Sec 8,Yes,Missing or Inadequate Cans/Lid,Public Area,Cellar
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,Sec 8,Yes,Missing or Inadequate Cans/Lid,Public Area,Courtyard
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,Sec 8,Yes,Missing or Inadequate Cans/Lid,Public Area,Building Entrance
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,Sec 8,Yes,Missing or Inadequate Cans/Lid,Public Area,Basement
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,PVT,Yes,Accumulation,Public Area,Hallway
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,PVT,Yes,Accumulation,Public Area,Fire Stairs/Tower
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,PVT,Yes,Accumulation,Public Area,Garage
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,PVT,Yes,Accumulation,Public Area,Fire Escape/Egress
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,PVT,Yes,Accumulation,Public Area,Fire Exit/Passageway
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,PVT,Yes,Accumulation,Public Area,Laundry Room
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,PVT,Yes,Accumulation,Public Area,Kitchen
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,PVT,Yes,Accumulation,Public Area,Lobby
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,PVT,Yes,Accumulation,Public Area,Air Shaft
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,PVT,Yes,Accumulation,Public Area,Basement
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,PVT,Yes,Accumulation,Public Area,Bathroom
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,PVT,Yes,Accumulation,Public Area,Building Entrance
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,PVT,Yes,Accumulation,Public Area,Boiler Room
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,PVT,Yes,Accumulation,Public Area,Courtyard
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,PVT,Yes,Accumulation,Public Area,Compactor Closet
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,PVT,Yes,Accumulation,Public Area,Cellar
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,PVT,Yes,Accumulation,Public Area,Yard
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,PVT,Yes,Accumulation,Public Area,Stoop
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,PVT,Yes,Accumulation,Public Area,Storage Room
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,PVT,Yes,Accumulation,Public Area,Stairs
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,PVT,Yes,Accumulation,Public Area,Other Room/Area
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,PVT,Yes,Accumulation,Public Area,Meter Room
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,PVT,Yes,Missing or Inadequate Cans/Lid,Public Area,Stoop
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,PVT,Yes,Missing or Inadequate Cans/Lid,Public Area,Yard
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,PVT,Yes,Missing or Inadequate Cans/Lid,Public Area,Cellar
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,PVT,Yes,Missing or Inadequate Cans/Lid,Public Area,Courtyard
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,PVT,Yes,Missing or Inadequate Cans/Lid,Public Area,Compactor Closet
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,PVT,Yes,Missing or Inadequate Cans/Lid,Public Area,Building Entrance
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,PVT,Yes,Missing or Inadequate Cans/Lid,Public Area,Basement
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DPM,Yes,Accumulation,Public Area,Kitchen
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DPM,Yes,Accumulation,Public Area,Hallway
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DPM,Yes,Accumulation,Public Area,Garage
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DPM,Yes,Accumulation,Public Area,Fire Escape/Egress
